Time,Crime Rate
1,1.3054096
2,1.55022344
3,2.280371989
4,2.5933504
5,3.064607772
6,3.094204999
7,3.498108756
8,3.042772431
9,2.853214273
10,2.323435076
11,1.517330067
12,1.62086445
13,1.710810464
14,2.063713299
15,2.575083029
16,1.581408337
17,1.147119174
18,0.972073307
19,0.900649546
20,0.916161363
21,0.858798487
22,0.712548164
23,0.772329562
24,1.044724929
25,1.128112672
26,0.991107109
27,0.750261988
28,0.842695634
29,1.029251665
30,0.909876984
31,1.206438504
32,2.001935368
33,2.789255402
34,3.055902808
35,4.231630637
36,6.743812002
37,11.09387718
38,13.94539569
39,19.27459608
40,20.20386284
41,21.58011349
42,15.17212312
43,16.20363957
44,18.69940813
45,17.40437693
46,13.21460375
47,10.32046426
48,6.324530953
49,4.801254725
50,3.84575944
51,3.148413021
52,2.02287645
53,1.382514783
54,1.177576042
55,1.215514804
56,1.503417113
57,2.25828518
58,2.656716122
59,2.814568653
60,2.984405242
61,2.366065484
62,2.173613986
63,2.076364783
64,1.692411629
65,1.668500994
66,1.35750987
67,1.927146374
68,2.176199741
69,2.290780172
70,3.097114875
71,3.944773347
72,5.278247671
73,5.74650798
74,5.495003881
75,6.223407231
76,7.889713906
77,7.107166115
78,7.297270963
79,10.5630477
80,14.4299152
81,17.60377165
82,16.93190861
83,16.66287338
84,20.2078381
85,22.31254209
86,22.2084933
87,24.86400933
88,21.87024592
89,21.75625606
90,20.79360278
91,21.68213938
92,28.90869972
93,29.27068254
94,31.010722
95,34.86155492
96,38.757949
97,39.26137677
98,38.87848637
99,33.41877021
100,24.17497587
101,17.12304797
102,14.26215774
103,14.51295177
104,18.90476394
105,19.2549078
106,25.93259307
107,32.04514746
108,33.86997637
109,45.27457074
110,53.99947308
111,52.98637858
112,51.04239566
113,39.51280867
114,31.68812513
115,31.69702058
116,31.08968832
117,33.04865854
118,34.81331749
